IdUtilizador,Nome,Email,Password,DataNascimento,DataCriacao,Geolocalizacao
10741,Chiba Kaito,chk@gmail.com,z52Y36iJPd,9/1/1986,28/4/2024,90.0000, 180.000
10742,Phillip Mills,milphi@hotmail.com,2kGoKQq1na,23/8/1997,11/10/2022,90,		157
10743,Koyama Itsuki,koyama65@yahoo.com,jSX5zjFtk5,9/11/1992,9/7/2025,90,	  +180.00
10744,Song Lu,songlu2@gmail.com,KnikzYtVkr,5/9/1972,9/11/2025,-7,		 158.585
10745,Donald Dunn,donaldunn@gmail.com,WE7iKVCoSf,6/4/1986,12/9/2023,-90,	 	5.9
10746,Sit Wai Yee,sitwy4@hotmail.com,jsJSl2SjsJ,10/4/1971,14/2/2022,90.000, 	134
10747,Shibata Ryota,ryotas1@mail.com,2bCk4KCfcJ,13/1/1982,2/3/2022,6,+8
10748,Fan Anqi,anqif1013@icloud.com,3nC5cD8bMK,3/9/1973,7/6/2023,-90, 	+180
10749,Yung Hui Mei,huimei6@icloud.com,MQGOZ9eCdJ,21/2/1992,25/11/2023,+90.000,43
10750,Xiang Jialun,xjialun5@hotmail.com,5vyM6GTHja,15/1/1980,19/4/2022,90.0,	53
10751,Kikuchi Misaki,kmisaki@icloud.com,5G0v1QY6Hg,5/2/2002,20/8/2024,3.8644,180.00
10752,Sakurai Daichi,sd1130@gmail.com,RVeeEp2Y7V,28/2/1991,28/1/2025,90,	-161
10753,Shimada Kasumi,skasumi@icloud.com,cLvLpbar86,4/12/1970,30/6/2022,-7,	 170.51
10754,Cai Shihan,cai70@mail.com,udeafi3aI8,15/12/1993,22/7/2022,78,+180
10755,Chiba Yuna,chiba83@gmail.com,6g982HUDBJ,26/11/1997,27/3/2025,+6.8182,  180.0000
10756,Suzuki Mai,suzukimai@mail.com,g1m8Wej6zM,4/7/1989,4/9/2025,90.00,	 180
10757,Francis Perez,perfrancis@hotmail.com,Jdtn4Xg5Rk,22/2/1986,3/9/2025,-3,	143
10758,Ikeda Sakura,sakuiked@gmail.com,77yyxR1LCC,7/3/1993,9/7/2022,-90.0,	  180.00
10759,Shing Fat,shf709@outlook.com,P0vQGwKoNI,23/7/1992,11/11/2025,-1, 		+180.0
10760,Gu Lu,lu2@gmail.com,aDDjGkjyfc,4/6/1973,4/9/2023,+90.000,		0
10761,Yeow Wing Fat,wingfat715@gmail.com,gEDfslBdGc,30/3/1998,26/3/2022,+90.00,+110
10762,Theodore Long,theodlong519@gmail.com,mTnivolQdH,27/1/1992,24/7/2025,9.0,	2.463
10763,Yin Sze Kwan,yin41@outlook.com,zPJOKIo4Vy,1/4/2004,25/12/2023,+11, -180
10764,Ueda Tsubasa,tsubasaue@icloud.com,eOJoa4blgN,2/1/1977,16/10/2024,90.0,-155.503
10765,Judy Daniels,danielsj@gmail.com,nrQwxXXL37,26/12/2005,23/4/2022,2,	 180.0
10766,Kam Sum Wing,swkam@hotmail.com,FTRahrP6XU,10/3/1983,1/5/2023,90,		-68.57
10767,Dai Wing Sze,widai@gmail.com,NHLkCXKsdd,22/8/1985,17/7/2022,90,		76.009
10768,Kono Riku,riku426@hotmail.com,0afCAqWjLP,23/6/1970,10/3/2023,+90.0000,  	+157
10769,Carl Tucker,tucarl2@gmail.com,P5uBVQjhSk,5/3/1985,22/11/2024,+16, 	 +6
10770,Miu Hok Yau,miu1203@gmail.com,frx6xyel31,20/12/1995,8/6/2022,-90.000, 	+180
10771,Tang Tsz Ching,tszchingt1224@hotmail.com,T4Stkr9yBu,19/3/1980,4/10/2022,+90,		+180
10772,Ma Shihan,mashihan@sapo.pt,IK6kuq3hqj,24/1/1982,14/3/2022,-90,172.6
10773,Qin Yuning,qin08@icloud.com,KUwMIGfhue,8/6/2001,18/7/2024,38.4735,   +178
10774,Yung Chiu Wai,yungchiuw426@hotmail.com,hv716hWAy0,21/11/1980,30/11/2022,-0,  	7
10775,Cao Xiuying,xiuyingcao@sapo.pt,TGXm8Fixjx,22/6/1994,2/2/2024,-9.39,	105.8748
10776,Liu Zhiyuan,liuzhiy@icloud.com,MYG76xnMAz,9/9/1997,4/2/2023,90,	7
10777,Norma Gordon,normag@hotmail.com,ALXQcZ8MvR,3/5/1982,8/4/2022,+90,	180.0000
10778,Zhao Yuning,zhaoyu@hotmail.com,xWXs9P1spa,27/12/1990,17/2/2022,51.67,  180
10779,Wei Xiuying,weixiuying@outlook.com,2qPb2amOkI,7/1/1978,5/12/2025,90, 		-9
10780,Murakami Kasumi,kasumi1122@outlook.com,LDBcWA6lbC,23/12/2001,21/12/2024,25.98,  	+149.3
10781,Fujiwara Kenta,fujiwaraken@hotmail.com,JiOY6XQr5N,15/6/1983,11/5/2025,46.82,	-180.0000
10782,Ti Wing Fat,tiwingfat@hotmail.com,bHcjxY1CVw,29/7/1993,16/4/2025,-90.0,		+180
10783,Otsuka Hikaru,hikaru8@gmail.com,uFlyxnwoAJ,2/8/2003,8/10/2022,+90,	180
10784,Cheng Kwok Wing,kwokwing2009@hotmail.com,9g8IHoxaKu,7/4/1981,25/10/2025,-90.000,   -180.000
10785,Lam Sau Man,saumanla@gmail.com,R8QsZZtPX1,14/9/2002,31/8/2023,90.0000,-131.72
10786,Joanne Henderson,joanne814@gmail.com,UGB6auEVv4,16/8/1974,29/11/2024,-10.7921,  +180
10787,Eddie Cox,eddie530@gmail.com,oYrmXhCuzo,30/12/1970,22/9/2025,53.00, 180.000
10788,Nicole Bailey,nicob@hotmail.com,tILBCb2Aw2,26/4/1989,16/11/2025,-90.00,115.09
10789,Gu Ziyi,guziyi@gmail.com,Qyau8ib3Rd,11/4/1977,8/2/2022,8,  -122
10790,Sugiyama Eita,sugiyama1105@yahoo.com,xUqCo9QkzW,3/11/1984,13/12/2025,52,	-2.7402
10791,Kikuchi Kasumi,kkik@gmail.com,n57eWzBpYw,13/8/1976,4/3/2022,90,+2
10792,Kinoshita Ayano,ka1018@icloud.com,IO4vSFUklr,10/12/1992,28/8/2025,51.3468,		+180.0000
10793,Sean Baker,sean10@outlook.com,tMbCp8KG4Q,16/5/1988,13/1/2022,25,	157.1457
10794,Lam Ming,lamming@gmail.com,21RfO84PMf,5/7/1983,29/1/2022,0,-88
10795,Kato Miu,kato3@outlook.com,TxUQD541Ik,25/12/1985,5/12/2022,3,180
10796,Shing Chung Yin,shingchungyin4@gmail.com,wUVYG2yrVq,13/3/2004,10/5/2025,48.59,	145
10797,Tanaka Ikki,iktanaka627@gmail.com,sHoerlTJlZ,29/11/1999,13/3/2025,90.0,		+104.5929
10798,Esther Torres,esttorres@gmail.com,FC9Ng08hgp,2/7/2003,8/4/2023,+90, 	 +3.38
10799,Yan Rui,ryan@gmail.com,uDRWIflQr1,24/1/1997,15/5/2024,90.0, 		+180
10800,Shawn Perry,perrshawn1125@outlook.com,9Cc9mfgZDv,13/4/1988,24/7/2022,70,-180.0
10801,Taniguchi Nanami,nta85@gmail.com,kl8qgOiNSa,18/4/1999,11/10/2025,+90.000, 6
10802,Arimura Ren,arimuraren@outlook.com,musSUipGcg,22/6/1988,20/8/2023,+33,	11
10803,Lu Shihan,shilu@hotmail.com,S8t2wFt2mO,26/3/1997,26/1/2023,83.2156,			3.4
10804,So Sai Wing,saiwing8@hotmail.com,hVZfzQH3ci,14/11/2002,25/10/2023,+31, 		4
10805,Lois Davis,ldavi82@outlook.com,dfNILk5Cs0,15/11/1991,30/4/2023,6.91,			-80.3
10806,Su Jiehong,jiehongsu@hotmail.com,C9brdgFdy4,23/10/1971,7/9/2025,90, 	 +180.00
10807,Abe Itsuki,iab@gmail.com,hHNQnJlaug,27/4/1995,28/4/2024,+90,180.00
10808,Hao Zitao,hzitao@outlook.com,5zDp21L6BF,13/9/1993,24/4/2024,+90.00,-180
10809,Ichikawa Kenta,kichikawa@outlook.com,0xNdZ3zblJ,24/3/1988,14/8/2025,8.21, 	 106
10810,Diane Stephens,sted223@hotmail.com,PlWm2R5lvE,22/6/1982,28/7/2024,76.990,	180
10811,Kikuchi Kenta,kikuchi43@outlook.com,Bu0bvO1H6d,12/1/1970,17/5/2025,24.7104, +54
10812,Debra West,dwest@outlook.com,TTRFwtSRbK,5/11/1982,3/1/2022,+7.923, 180
10813,He Jiehong,jihe7@icloud.com,hEkbK1EJc6,12/6/1995,17/3/2025,3.6049,	 -107
10814,Stephen Clark,stephenclark@hotmail.com,QviUu6wuxe,1/5/1991,22/9/2025,90,-62
10815,Pang Sze Kwan,pasz00@gmail.com,qoWxAIizMO,22/9/1988,9/9/2023,+78.6,  +180
10816,Yuen Tin Wing,tinwing1951@hotmail.com,UEF9yru7zV,3/9/2003,27/10/2022,-26,  +180.00
10817,Ernest Mendez,ermendez@gmail.com,80OLtwhLM2,5/12/1991,25/8/2023,90.0000,	-105
10818,Ho Wing Fat,howingfat@outlook.com,5GruNuXaZm,29/1/1991,8/8/2024,-90,+0
10819,Leung Tak Wah,ltakwah@outlook.com,AHInOl87sx,18/5/1999,21/3/2025,90,180
10820,Alice Adams,adamsalice201@outlook.com,DZZhw5mfqz,3/6/1989,8/6/2025,0, 8.25
10821,Lo Tin Wing,lo6@outlook.com,nnjMusgo46,23/12/1987,18/4/2025,-62, 	136
10822,Xie Jiehong,jxie@hotmail.com,w7XAMmPGX7,25/10/1987,23/9/2022,+90,+130.848
10823,Ichikawa Shino,ichishino1984@gmail.com,VsRG0tfOqs,15/4/1979,3/12/2024,90.000, 	 +180
10824,Gong Jiehong,gjieho@outlook.com,Yw8SIMRntF,17/2/1995,22/12/2025,90,   8.1722
10825,Gao Yunxi,yunxi311@icloud.com,YyuekOMviy,29/11/1999,22/3/2022,+90, 	 +7.10
10826,Murata Misaki,mumisaki@outlook.com,WOuTtk5VB7,13/9/1990,2/3/2024,50.9704,180.00
10827,Meng Hiu Tung,htm@gmail.com,Q2AqkWDjGT,5/1/1998,3/9/2025,-90,		+133
10828,Kenneth Ramirez,kr75@hotmail.com,LOrwgyociZ,2/1/1978,2/9/2023,+0.3242, -180
10829,Zhong Zhiyuan,zhongzhiyuan80@gmail.com,mMfcVC693o,8/11/1991,11/11/2025,7, 180
10830,Ito Mai,maito@gmail.com,AJnyNUOz84,4/4/2001,24/2/2023,-90,  180
10831,Sit Chi Yuen,sitchiyuen@sapo.pt,vQkOevCNuE,16/1/2003,11/5/2025,90.000,	 5
10832,Shing Tsz Hin,shingth@outlook.com,spBoGpaX4E,16/3/1990,7/4/2023,+90.00,3
10833,Hayashi Hikaru,hayhikaru@gmail.com,pv6JOOjNvG,4/2/1972,12/1/2023,+4,	 -180.0
10834,Sheh Tin Lok,stl@outlook.com,FVxrQFvSmI,17/12/1991,25/4/2022,-90.000,  	180
10835,Cheng Ka Keung,kakeungc@gmail.com,3E4ew4Y3Rk,4/7/1974,19/4/2023,-90,	-180.000
10836,Tang Yunxi,yunxtang@hotmail.com,QBlSJGLkJa,20/1/1975,9/3/2023,11.8863, +180
10837,Charlotte Palmer,palmer64@hotmail.com,FQu5WpdKVh,7/3/1978,1/7/2024,-90,	 -180.00
10838,Chan Kwok Kuen,ckk614@hotmail.com,kurnKFxeTY,8/3/1986,8/12/2023,-5,-180.0000
10839,Lu Rui,ruilu@gmail.com,a70VNWSJhZ,24/2/1984,27/11/2024,+0,+180
10840,Zhang Rui,zr3@hotmail.com,5rZIkJV0qa,7/12/2002,21/11/2024,69,  	+180
10841,Fujii Yota,fujy514@yahoo.com,DRKm44MCSK,2/1/1988,6/6/2022,-90,-180
10842,Qin Zhiyuan,qin40@mail.com,9SNCYnsF9B,11/11/2001,14/11/2025,90,  	0.1915
10843,Koyama Hazuki,koyamahazuk@gmail.com,lWnNMhjNV5,21/12/1983,24/8/2023,-58.03,	-180.00
10844,Fung Tsz Ching,ftc10@gmail.com,z2If65tKhs,30/11/1971,21/1/2025,6.8,180
10845,Lam Wai Man,waiman10@outlook.com,zVy5qyu5au,15/6/1988,29/11/2022,-83,	1.6
10846,Jane Cooper,jancooper@gmail.com,E88QhRcdjt,30/9/2002,22/3/2024,+75,-180.0000
10847,Deng Zhennan,dengzhe@outlook.com,Mq9j3DLdut,15/12/2004,24/10/2024,-90,   180
10848,Lok Wai Han,lokwh@gmail.com,5dYsbEPZ3g,26/7/1975,9/4/2023,90,		8
10849,Abe Yuito,yuabe315@gmail.com,8TFv23tCHy,5/5/1972,29/8/2022,90.0000,		 35
10850,Chang Xiuying,xiuychan7@gmail.com,ETRpOEkhUB,21/2/1996,22/2/2025,+3, 180
10851,Bruce Nguyen,nbruce@gmail.com,mwH0QiETqn,1/3/1988,8/9/2022,-90,-180.0000
10852,Harada Yuto,haradyuto@icloud.com,eNhjErlRdQ,10/12/1996,24/11/2022,90,+180
10853,Sylvia Moreno,smoreno414@hotmail.com,uhGEMF4798,2/9/2002,21/7/2024,-0,-180.00
10854,Kaneko Yuito,kanekoyuito@mail.com,ubz1XhSJbi,17/9/1986,7/8/2023,-82, -2.9562
10855,Tao Anqi,anqitao@outlook.com,QrIR3ySn7t,12/8/1976,5/11/2024,-90,6
10856,Wan Sze Yu,szeyuwan10@outlook.com,rqhHhxHuKS,30/5/1999,20/1/2022,+90, +180.0000
10857,Ono Tsubasa,ontsubasa110@icloud.com,Wz9Hcwc7Rq,30/9/2003,29/8/2024,-77.73,137.904
10858,Koyama Nanami,nanamkoyama@gmail.com,FYjnHpdBYK,19/5/1984,14/5/2024,+6.1125, 180.000
10859,Shimizu Rin,rinshim@gmail.com,xSXFnULSKS,16/9/2003,22/4/2022,47,-4
10860,Uchida Kazuma,uchidaka@outlook.com,lSX2OB9CmB,9/3/1980,4/2/2022,-77,  180.0
10861,Kim Webb,kwebb@outlook.com,wWX5IlI9hv,5/8/1970,11/12/2025,+90.0000,-180.00
10862,Nakamori Mitsuki,mnakamori@sapo.pt,UbCdOT9WFD,2/10/1990,22/6/2023,90.000,180.0000
10863,Wei Xiaoming,xiwei@hotmail.com,CEekO9zKFL,20/2/1990,29/2/2024,1.4,		180.0
10864,Hung Yun Fat,yfhung@hotmail.com,sjZZEnRFdg,30/10/1997,5/10/2022,90.0,		+180.00
10865,Antonio Romero,antonioromero1987@gmail.com,2HYEwHpn6k,28/11/1995,21/7/2024,+90.00,			30.77
10866,Brenda Jordan,jordan92@gmail.com,oPk2w3q0An,25/12/1983,30/10/2024,-90,56.269
10867,Chang Wing Kuen,wkc@outlook.com,kmelopNeQC,6/9/1972,24/7/2025,5,	 180.00
10868,Yoshida Hana,hana93@mail.com,VAnK8GQMwC,21/1/1975,25/5/2023,+90.00,122.226
10869,Takahashi Hikari,takahashihik6@icloud.com,yYwjzDVOlR,24/8/1983,17/10/2025,90,114.2
10870,Yan Xiaoming,xiaoming5@gmail.com,eRxfYRorpJ,7/2/1971,9/6/2023,8,	 -180
10871,Ma Lai Yan,malaiy@gmail.com,mprLjgsJx5,25/9/2004,4/10/2025,90, -180
10872,David Ellis,davidellis@hotmail.com,RFK6hEp4j5,14/10/1978,26/4/2024,+90, 	 -180.0000
10873,Kyle Watson,kylewatson@outlook.com,0TMI2Je4zS,18/4/1988,25/7/2022,22,	  1
10874,Mo Wai Han,mowaihan3@gmail.com,kj1TJ12FZF,17/5/1992,18/10/2025,-6.6983,	180.0
10875,Richard Hunt,richah@hotmail.com,ndIHT2vJss,1/5/1970,1/5/2025,-90.00, 180.00
10876,Kevin Fox,foxkevin@icloud.com,r4s5fh5LUu,6/4/1971,27/6/2025,-90.0000,180.0000
10877,Koo Siu Wai,ksw@gmail.com,zljt5bNfZX,31/10/1985,16/1/2022,39,		 -92
10878,Kelly Rodriguez,kelly52@gmail.com,AUPkuMdovD,8/1/1976,26/1/2024,36, 		22
10879,Hsuan Ka Man,hsukaman@hotmail.com,AytraqljwI,17/11/1998,2/6/2023,90,	7.2
10880,Tang Xiuying,tang1981@outlook.com,TItd7ZQYhl,17/7/1991,30/4/2022,90, 		180
10881,Jeremy Long,longjer70@sapo.pt,alr2O0HLxs,4/7/1989,28/5/2022,65,  112.3
10882,Fong Chun Yu,fchunyu@gmail.com,8PfNCq5ZjX,18/9/1983,26/6/2022,4.64,	+180.0000
10883,Wu Zhennan,zw9@gmail.com,lQIYnAVd9H,30/10/1974,3/8/2022,-59, 180.00
10884,Tang Ting Fung,tangtingfung@gmail.com,cNCp5YnSvu,6/7/2004,6/7/2023,+90,110
10885,Tin Ming Sze,tms@gmail.com,LYm3QjDSIe,3/2/1981,27/10/2025,-90.00,177
10886,Xiang Rui,rux2@sapo.pt,FMXMBVSfUB,29/9/1996,20/9/2024,90,	 113
10887,Kikuchi Yuto,kikuchi58@hotmail.com,woGqU61DMC,6/4/1974,4/12/2023,90,-180.00
10888,Liang Rui,ruiliang4@gmail.com,UogenyNQmO,13/7/2003,11/6/2022,3.0,	-7.0731
10889,Sasaki Kasumi,sasakkasumi@gmail.com,tcUkHpgMmH,16/4/2004,17/2/2023,-90.0, 	180.0
10890,Hao Jialun,hajialun@gmail.com,AClH3y3mOl,8/3/1982,16/6/2022,90,	 180
10891,Siu Kwok Ming,kms@gmail.com,enB0Rx0rnf,14/5/1974,31/1/2024,90,180.000
10892,Yu Yuning,yuniyu@gmail.com,bSn6FbEOnP,31/10/1983,22/9/2025,-90,  	180
10893,Wu Ka Ling,wkaling@gmail.com,mtCIWKi6ES,8/2/1978,27/5/2025,90.000, 		-5.3
10894,Man Wing Sze,man916@mail.com,Kxpa7MC9aC,25/8/2002,21/7/2025,90, -11
10895,Ding Ziyi,dingziyi@hotmail.com,wjkOFtAewT,9/1/1999,23/4/2023,7.54, +180
10896,Cho Ka Keung,kakeungcho@gmail.com,R0x3T31IzV,21/3/2001,8/11/2025,1.6607,  180
10897,Kaneko Hikaru,hikka802@gmail.com,pJpdy8ck3I,26/8/1991,10/9/2022,90.000,118
10898,Arimura Itsuki,iarimura@mail.com,aMtOdKmKzE,29/3/2001,22/2/2024,+90,  +180.00
10899,Zhu Zhennan,zhennanzhu@gmail.com,a8UMuO7M2Q,3/8/1986,8/9/2022,32.0, 	 +180.0
10900,Ryan Meyer,meyer72@sapo.pt,ijkLgq5R15,17/1/1991,14/6/2024,90.000,			113.7246
10901,Liao Xiaoming,xiaoming7@hotmail.com,4bS6DjrXqh,4/7/1996,31/7/2024,90.000, 0
10902,Gong Shihan,gshihan@icloud.com,CDgrtCqGhy,14/11/1981,1/9/2023,-86,		-180
10903,Guo Yuning,yuninguo@icloud.com,BTkck0n4dN,12/8/2000,6/1/2022,+0.7,+180.00
10904,Shen Lan,shen1@hotmail.com,Lb1JVVjCVe,9/5/2004,22/9/2025,+90.0000,180.000
10905,Miyazaki Riku,rikmiyaz@hotmail.com,dJri6w3Kc4,19/1/1999,20/11/2022,90.0000,  +180.0000
10906,Stephen Cruz,stephencruz@outlook.com,whsbPa2yUk,8/6/1984,5/9/2022,8.4944,  173.4
10907,Wong Chung Yin,wong89@icloud.com,I3vXz4N5ap,29/11/1996,24/5/2022,-9.62,  -180
10908,Danny Fernandez,danny820@hotmail.com,cpjsvTjlqn,26/12/1977,25/1/2024,90, 180.00
10909,Yuen Lai Yan,laiyan3@sapo.pt,kLFghCv7pD,6/10/1975,5/9/2023,90.0, 	 180.0
10910,Wada Rin,rinw@outlook.com,Dy3Q7PGmOu,17/10/2002,18/10/2023,90.0,  	-93.384
10911,Yam Tak Wah,twy@outlook.com,VZdt6c4G8Q,5/5/2000,26/5/2025,-8, 88
10912,Gao Lan,lang@icloud.com,gKXaBcfzd9,5/1/1970,16/1/2023,90.000,  -180.0
10913,Maeda Miu,miuma@outlook.com,rvcg5a9v9D,24/8/2005,15/2/2022,9.0394,   9.295
10914,Inoue Rena,reino@hotmail.com,7T8YzTfans,24/4/1988,4/2/2022,90,		180.00
10915,Matsui Hazuki,matsui1956@icloud.com,aHIy6at5Uo,27/7/1993,1/10/2023,35,+99
10916,Miyamoto Kaito,miyamotokait@gmail.com,zr9BD99NIp,12/9/1977,15/1/2024,90,-37
10917,Ishikawa Mai,mai9@hotmail.com,duy20YGXbi,30/12/1971,16/7/2024,+90.000,-180
10918,Fan Shihan,shifa1@hotmail.com,0GUXATLtUE,1/7/2002,18/6/2023,+90.0000,  180.0
10919,Tsui Wai Man,waiman61@outlook.com,BXrO9OeJ8i,28/9/1995,20/4/2025,+24,-180
10920,Carl Munoz,mucarl1@yahoo.com,Zovuaa9PKH,15/6/1974,28/2/2023,89,-180
10921,Sheh Ming Sze,mssheh48@gmail.com,duiWoOKUXU,13/7/1996,20/9/2022,4.873,+180
10922,Yeow Ka Ming,kamingyeow5@hotmail.com,iB9lrDepBE,5/10/1998,19/3/2024,90.000, 157
10923,Endo Mai,enmai10@icloud.com,vof5gk7NDG,28/11/2001,29/4/2022,90.0,  27
10924,Wada Aoi,aw10@hotmail.com,o7YZ9j2GaK,28/10/1992,17/4/2025,+8.471,		 121
10925,Elizabeth Evans,elizaeva2@gmail.com,FI4xwBTFOO,30/10/1980,2/10/2022,1,		-155
10926,Ng Lai Yan,nlai@icloud.com,MIh4DSHTAa,14/10/1998,30/6/2023,-90.0000,-177
10927,Rachel Barnes,rachelbarne@hotmail.com,dl68A90deU,15/10/1993,20/1/2024,+1.182,+15
10928,Julia Mendoza,mendozajul@hotmail.com,G2QFBzhR1S,2/4/1991,15/4/2025,90.000, 		-180.0
10929,Okada Hazuki,okadahazuki@mail.com,0aAGH3W9J8,15/7/2004,29/10/2022,41,  -40.153
10930,Yan Zhennan,zyan@gmail.com,gsR1zxCIlX,24/2/1996,21/3/2025,+90.0, 	+180
10931,Otsuka Hazuki,hazukiotsuka@outlook.com,BqQ9AdpN38,19/9/2004,22/6/2022,-90.00,	180
10932,Han Jialun,jialunhan@yahoo.com,GscJeBgZMU,3/9/1971,15/4/2024,-3.5, 	-180.0
10933,Taniguchi Ayato,tana@sapo.pt,hta12dtcc9,28/9/1972,14/3/2023,8.81,180.00
10934,Josephine Tucker,josephinetucker8@yahoo.com,KGPTH2ZyZg,24/12/1994,6/7/2023,+90.00,	-180.0000
10935,Nakamori Ayato,nakamoriayato@hotmail.com,EqFJpLO1z5,25/9/1980,16/7/2024,90,   180.0000
10936,Wong Tak Wah,wong9@outlook.com,66LmJOCA7q,11/11/1992,6/5/2022,90, 180
10937,Diana Martin,dianamartin@gmail.com,2pZA0aSUpg,20/7/1996,7/11/2022,-90,180
10938,Yin Xiuying,yinx@sapo.pt,XKDAhlkYUY,22/11/2005,15/10/2023,90.000,	 180
10939,Yam Suk Yee,yam1969@gmail.com,BFo1xm95fm,13/8/1973,6/7/2025,+90.0, 98
10940,Yung Tak Wah,yungtw88@gmail.com,bY69VvPqgW,15/11/1976,7/1/2022,+27, 	180.0000
10941,Mak Chun Yu,cym1204@icloud.com,sWC5PIa4zK,6/12/2004,21/11/2025,+90.0,  +82.6093
10942,Anita Shaw,shawan@gmail.com,6FodGR2tOq,23/4/1974,8/2/2024,-19,			-180
10943,Lam Chieh Lun,lamchiehlun611@outlook.com,yYHVuVUgvr,23/10/1971,5/7/2024,+90,	180.00
10944,Su Xiuying,suxiuying809@gmail.com,FmzSK2BagD,1/4/2003,25/10/2024,90, 	+0.95
10945,Sugawara Riku,sugawara2@outlook.com,zXQesaS1fP,1/3/2003,5/7/2023,90, 	-8
10946,Tiffany Henry,henrtiffa@mail.com,r9eoToCfKe,16/2/1987,17/8/2025,+22.29, 		+165
10947,Goto Momoe,momoe63@hotmail.com,8XHp6OH4s2,19/2/1982,2/7/2023,-3.0, 	 108
10948,Yu Yunxi,yunxi8@icloud.com,VXoLOKT1Zj,26/1/1979,27/9/2022,+90,-180.0
10949,Ralph Gomez,gomezra@gmail.com,waMiHkrEMb,13/11/1977,14/6/2024,-90,		+180
10950,Denise Shaw,shaw5@icloud.com,VlBrc3fris,23/7/1982,13/2/2023,90,	 131.54
10951,Mok Ka Ming,kammo1940@outlook.com,xqCGXrXKxG,25/8/2005,26/4/2023,-4,	-6.3653
10952,Kao Ho Yin,kao124@outlook.com,lJF8Iv7Auc,13/5/1970,23/5/2022,90, +103
10953,Cheng Jiehong,chengjiehong@icloud.com,CU1XoFZWlx,26/7/1971,8/1/2025,90, 119.1
10954,Gary Mason,mason58@hotmail.com,0iUZSV6aOA,26/9/1999,12/8/2025,+90,			+180.00
10955,Edwin Vargas,vargasedwin@icloud.com,bw4cHQ8xKI,10/8/1998,10/8/2023,+90,	174.04
10956,Yuen On Na,onna1954@gmail.com,09A9DEpc3Y,7/5/1983,20/3/2023,+90, -165.4
10957,Koo Ka Man,kaman67@gmail.com,365fniEyAY,1/1/1995,28/11/2022,90,+175.38
10958,George Wilson,george1970@gmail.com,xqyqCWQydw,10/10/2001,30/3/2025,-4,	 180.0000
10959,Hao Xiaoming,xiaomingha@icloud.com,8tVPT55l6X,12/12/1994,13/6/2025,90.000,180.0000
10960,Imai Daisuke,imaidai@gmail.com,FkxX5pxqp2,30/9/2000,28/9/2022,+3.60,		68.0
10961,To Wing Sze,wingsze7@outlook.com,yIDoKUW5aJ,28/5/1988,1/4/2025,-90.000,168.320
10962,Nakamura Yuna,yuna531@sapo.pt,ffwPWTxlJT,7/11/1984,16/11/2025,85.3, -0
10963,Tse Ling Ling,tse2@icloud.com,LSE2YYrtom,4/11/1975,24/12/2025,-90.00,	-180
10964,Fan Yuning,yuning7@gmail.com,BvmqxkOWNK,23/2/1992,14/3/2024,+90, 		+180.00
10965,Ye Zhiyuan,yezhi4@hotmail.com,34XklQf2Fv,10/4/1997,5/11/2022,-90.0,	  -180.00
10966,Tang Sze Yu,tszeyu5@icloud.com,JSyhPTltvx,23/4/1972,5/12/2022,90.0000, 88.421
10967,Mo Lan,lmo@icloud.com,ESciH1QlFm,8/11/2005,28/10/2024,-46, +180
10968,Deng Yunxi,yunxideng1231@gmail.com,hF3brVRGs2,24/2/1976,19/2/2022,-27.83,	  +180.0
10969,Ren Xiaoming,xre@outlook.com,COutiSI3E0,22/9/1993,4/1/2024,+29.6,-149
10970,Lei Zhennan,zhennanlei@gmail.com,QDptnymdab,5/10/1980,1/8/2022,90,-180
10971,Mo Jialun,mo208@gmail.com,YnB8BmcM07,28/7/1982,21/7/2023,+70,		 -180
10972,Chu Wai Han,waihanchu@hotmail.com,ZRFs3utl1p,15/5/1980,24/8/2023,-90.000,			180.0000
10973,Gu Lu,lu530@yahoo.com,eSjLIrYjny,7/3/2000,5/8/2023,-90,  151
10974,Deng Xiuying,xiuyingdeng01@gmail.com,5kvdXTxxL1,19/7/1976,28/8/2025,+30.8415,		 157.66
10975,Liao Shihan,liaos@outlook.com,H7vG6lsSv9,14/11/1996,20/1/2024,90.00,-175
10976,Lai Wing Fat,lai308@outlook.com,RuiqwMZueE,22/2/1977,31/10/2023,+6, 5
10977,Han Tin Wing,tinwingh@hotmail.com,tGDD893TOP,29/12/1987,5/10/2024,39,		 180.0
10978,Fujiwara Hikaru,hikafujiwara@hotmail.com,cBrSoyqvNR,5/7/1984,1/1/2024,90.00,	+180
10979,Rachel Alvarez,raalvarez211@gmail.com,6fMxMoGz2S,2/4/2003,24/9/2024,-3.930,		180
10980,Sit Fat,fat72@outlook.com,yhA3T6VVXm,9/6/1973,5/8/2022,4.4154,   180
10981,Shirley Flores,shirleyf7@sapo.pt,tfVlXrZU8T,27/12/1970,27/3/2022,-0.030,163
10982,Liao Yuning,yuningli@hotmail.com,adjxbNauDj,6/1/1999,30/3/2025,90,+156.6852
10983,Shao Zhennan,shaozhennan@gmail.com,PV6Ebm9K2E,15/10/1971,28/8/2023,+90.000, 		180
10984,Jean Gibson,jeang92@gmail.com,5hUCJQw95j,17/1/2005,22/3/2025,-81,		+146
10985,Jin Shihan,jish@icloud.com,V44I0rOt2I,3/4/1997,24/2/2025,90.000,		 +180
10986,Lok Sai Wing,saiwing329@gmail.com,ybHapT5Ohr,2/12/1970,30/11/2025,90, +119
